i,j,mocoeff
0,0,  4.453983239380e-03
0,1,  7.087898682657e-03
0,2,  1.374617573345e-01
0,3,  7.709306738847e-02
0,4,  1.482485219000e-01
0,5,  8.041366120265e-02
0,6,  4.816863884671e-01
0,7,  4.784240001674e-01
0,8,  4.953517070037e-01
0,9,  4.947723378619e-01
0,10, -6.877004507294e-03
0,11, -1.262249780693e-02
0,12, -4.906935555089e-03
0,13, -1.306029963373e-02
0,14, -6.835610624826e-03
0,15,  7.504859510857e-03
0,16, -7.831265913326e-03
0,17,  8.255744028355e-04
0,18,  6.795852142440e-03
0,19,  1.395093424376e-03
0,20, -2.947627013269e-03
0,21,  3.400743144871e-03
0,22,  5.046006116019e-04
0,23,  4.076644666282e-04
0,24, -1.339948778783e-03
0,25, -2.393681795632e-03
0,26,  1.539513786863e-04
0,27,  1.851137704648e-03
0,28,  4.316885419166e-04
0,29,  0.000000000000e+00
0,30,  0.000000000000e+00
0,31,  0.000000000000e+00
0,32,  0.000000000000e+00
0,33,  0.000000000000e+00
0,34,  0.000000000000e+00
0,35,  0.000000000000e+00
0,36,  0.000000000000e+00
0,37,  0.000000000000e+00
0,38,  0.000000000000e+00
0,39,  1.959908695329e-02
0,40,  2.107678846177e-02
0,41,  1.772235087394e-02
0,42, -1.092231760840e-02
0,43, -1.091831533090e-02
0,44,  3.407488149674e-04
0,45, -1.109421066387e-02
0,46,  2.614050847804e-02
0,47, -3.653022542626e-02
0,48,  1.366939961330e-02
0,49,  1.134716452020e-02
0,50, -1.184095500119e-02
0,51,  2.607309911526e-02
0,52, -2.630644488400e-02
0,53, -1.144369425190e-02
0,54,  2.902922860765e-03
0,55, -7.749875083730e-04
0,56, -3.060623374605e-02
0,57,  4.819386244625e-02
0,58,  0.000000000000e+00
0,59, -1.066547836641e-01
0,60,  1.562457584511e-02
0,61,  0.000000000000e+00
0,62, -1.279629980421e-01
0,63, -2.025044996013e-02
0,64,  0.000000000000e+00
0,65, -1.347342123243e-01
0,66, -4.053684614744e-02
0,67,  1.244842686916e-01
0,68,  0.000000000000e+00
0,69,  3.806820773861e-02
0,70, -8.041168170453e-02
0,71,  5.745294047548e-02
0,72,  0.000000000000e+00
0,73,  0.000000000000e+00
0,74,  0.000000000000e+00
0,75,  0.000000000000e+00
0,76, -4.837277557246e-02
0,77,  4.138056160858e-02
0,78, -6.949875951249e-02
0,79,  0.000000000000e+00
0,80, -1.901264123339e-02
0,81,  7.958293631022e-02
0,82, -1.736761646167e-02
0,83,  2.988209895601e-02
0,84, -1.567048024165e-01
0,85,  0.000000000000e+00
0,86,  0.000000000000e+00
0,87,  0.000000000000e+00
0,88, -3.008664581706e-02
0,89, -4.950217317574e-02
0,90,  2.604440565429e-01
0,91, -2.579270063775e-01
0,92, -2.356727809392e-01
0,93,  1.525032557271e-01
0,94, -6.614282049643e-02
0,95,  0.000000000000e+00
0,96, -3.070870788222e-01
0,97,  0.000000000000e+00
0,98, -9.886837758372e-02
0,99,  0.000000000000e+00
0,100,  0.000000000000e+00
0,101, -1.662223075555e-01
0,102,  0.000000000000e+00
0,103, -4.597222640375e-03
0,104,  0.000000000000e+00
0,105,  0.000000000000e+00
0,106, -5.777234404007e-02
0,107, -1.569101752759e-02
0,108, -2.237172998802e-02
0,109, -1.343441501372e-01
0,110, -1.388815131692e-01
0,111,  1.631154458243e-01
0,112,  1.918064341411e-01
0,113,  2.655357383492e-01
0,114,  0.000000000000e+00
0,115,  0.000000000000e+00
0,116, -2.488658032662e-02
0,117, -1.540532951333e-02
0,118,  0.000000000000e+00
0,119,  0.000000000000e+00
0,120,  0.000000000000e+00
0,121,  8.756599099827e-02
0,122, -3.426590179326e-02
0,123, -1.786950838000e-01
0,124, -2.461758625600e-01
0,125, -9.409235953035e-02
0,126,  0.000000000000e+00
0,127, -1.592470705977e-01
0,128,  0.000000000000e+00
0,129,  5.615444260660e-02
0,130,  0.000000000000e+00
0,131, -8.423198299607e-02
0,132,  1.193187223937e-01
0,133,  0.000000000000e+00
0,134,  0.000000000000e+00
0,135,  4.797590795805e-01
0,136, -3.758973033720e-01
0,137, -1.335503475768e-01
0,138, -1.943589460138e-01
0,139,  1.959369087488e-01
0,140,  0.000000000000e+00
0,141,  0.000000000000e+00
0,142, -4.118490970469e-02
0,143,  0.000000000000e+00
0,144,  1.019265146350e-01
0,145,  8.865883355810e-02
0,146, -5.982844377308e-02
0,147,  0.000000000000e+00
0,148,  1.205997746078e-01
0,149, -2.387629397505e-02
0,150, -2.232046183141e-01
0,151, -3.317807670723e-01
0,152,  0.000000000000e+00
0,153,  1.855094831596e-01
0,154,  0.000000000000e+00
0,155,  2.096305253711e-01
0,156, -1.141766525870e-01
0,157,  0.000000000000e+00
0,158, -1.424555199750e-02
0,159, -6.847722724110e-02
0,160,  1.199984578982e-03
0,161,  0.000000000000e+00
0,162,  0.000000000000e+00
0,163, -6.867753943253e-02
0,164,  1.786488678024e-01
0,165, -1.961944324925e-01
0,166,  8.352878029589e-02
0,167,  1.327358555225e-01
0,168,  2.513597094978e-01
0,169,  3.060702313070e-01
0,170,  2.721152836753e-01
0,171,  5.173283572633e-02
0,172, -1.139375494194e-01
0,173, -2.951547629348e-01
0,174, -2.476947532488e-02
0,175,  1.325288478620e-01
0,176, -6.800857077880e-02
0,177,  3.020299230076e-02
0,178, -1.090052473990e-01
0,179,  1.027968223245e-01
1,0, -1.363641583368e-04
1,1,  7.860112909686e-05
1,2,  4.509771744688e-04
1,3,  1.905992562995e-04
1,4,  4.320493323082e-04
1,5,  3.149537389412e-04
1,6,  2.067904874011e-03
1,7,  2.021330017684e-03
1,8,  2.526876300747e-03
1,9,  2.506692125137e-03
1,10,  1.074890506544e-01
1,11,  1.823519252912e-01
1,12,  6.239520035480e-02
1,13,  1.775690717721e-01
1,14,  1.121507773834e-01
1,15, -1.077891140221e-01
1,16,  1.420132101572e-01
1,17, -3.494507236904e-02
1,18, -1.232008662871e-01
1,19,  3.806278385464e-03
1,20,  6.704169732922e-03
1,21, -6.111409499044e-02
1,22,  1.796055013909e-02
1,23,  2.728161538972e-02
1,24,  2.983585729379e-02
1,25,  7.123617652333e-03
1,26,  1.039190969426e-02
1,27,  1.532307453987e-02
1,28,  4.243089738711e-03
1,29,  0.000000000000e+00
1,30,  0.000000000000e+00
1,31,  0.000000000000e+00
1,32,  0.000000000000e+00
1,33,  0.000000000000e+00
1,34,  0.000000000000e+00
1,35,  0.000000000000e+00
1,36,  0.000000000000e+00
1,37,  0.000000000000e+00
1,38,  0.000000000000e+00
1,39, -1.996144405518e-02
1,40, -2.595993933514e-02
1,41,  1.808727318238e-02
1,42,  3.799547151785e-02
1,43,  5.014329716395e-02
1,44,  9.937146749272e-02
1,45,  1.060702661850e-02
1,46,  9.530127937040e-02
1,47,  1.339555463964e-02
1,48, -6.154238466608e-02
1,49,  1.579359391005e-02
1,50, -3.580303275615e-02
1,51, -2.592999336451e-02
1,52,  5.544623637888e-02
1,53, -4.024335854796e-02
1,54, -1.214856550306e-02
1,55, -2.138100854052e-02
1,56,  7.258671769517e-02
1,57, -8.043691093291e-02
1,58,  0.000000000000e+00
1,59, -2.501236643075e-01
1,60, -9.585376878975e-02
1,61,  0.000000000000e+00
1,62, -2.081029559642e-01
1,63,  2.248687376656e-02
1,64,  0.000000000000e+00
1,65, -2.394135053274e-01
1,66, -5.207709378241e-02
1,67,  3.247008558361e-01
1,68,  0.000000000000e+00
1,69,  4.990166988390e-02
1,70, -9.402587800704e-02
1,71,  4.295510835539e-02
1,72,  0.000000000000e+00
1,73,  0.000000000000e+00
1,74,  0.000000000000e+00
1,75,  0.000000000000e+00
1,76, -1.311031456115e-01
1,77,  1.020316093721e-01
1,78, -1.895004927748e-01
1,79,  0.000000000000e+00
1,80, -4.773009203489e-02
1,81,  1.850856012374e-01
1,82, -6.242948802292e-02
1,83,  9.031742226035e-02
1,84, -3.631827958383e-01
1,85,  0.000000000000e+00
1,86,  0.000000000000e+00
1,87,  0.000000000000e+00
